번호,학년/가진급학년,Curriculum,교과영역구분,CourseId,Name,Professor,수업캠퍼스,LectureTime,LectureRoom,Credit,이론,실습,공학설계,강의계획서,교과목해설,강의유형,강의종류,혁신교과목구분,원어강의,강평결과,이수구분,강의미리보기,개설대학,개설학과/전공,집중이수학기구분,비고,교과목영문명,
1,1학년,전공,기초,AIC2003-01,데이터사이언스개론,이우진,서울,"수5.0-6.0/13:00-14:30,목2.5-3.5/10:30-12:00","407-224(정보문화관P P403 컴퓨터실습실2),407-224(정보문화관P P403 컴퓨터실습실2)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 48명,Introduction to Data Science,
2,1학년,전공,기초,AIC2011-01,AI콘텐츠융합개론,조경은,서울,금2.0-4.5/10:00-13:00,407-207(정보문화관P P402 컴퓨터실습실1),3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,"팀티칭, 수강정원 40명",Introduction to AI Contents Convergence,
3,2학년,전공,기초,AIE2001-01,메타버스프로그래밍,황주선,서울,금9.0-12.5/17:00-20:30,407-207(정보문화관P P402 컴퓨터실습실1),3,2,2,,더블클릭,더블클릭,이론+실습,외국어강의,,영어,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 엔터테인먼트테크놀로지전공,,"영어강의, 수강정원 30명",Metaverse Programming,
4,1학년,전공,기초,AIE2006-01,메타버스콘텐츠디자인,이영숙,서울,금6.0-8.5/14:00-17:00,407-207(정보문화관P P402 컴퓨터실습실1),3,3,0,,,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 엔터테인먼트테크놀로지전공,,"팀티칭, 수강정원 20명",Metaverse Contetns Design,
5,2학년,전공,기초,AIE2009-01,기초융합프로젝트1,성연식,서울,목9.0-12.5/17:00-20:30,407-224(정보문화관P P403 컴퓨터실습실2),3,2,2,,더블클릭,더블클릭,이론+실습,외국어강의,,영어,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 엔터테인먼트테크놀로지전공,,"팀티칭 영어강의, 수강정원 40명",BasicConvergenceProject1,
6,2학년,전공,기초,ASW2005-01,자료구조,,서울,"수2.0-3.5/10:00-12:00,금2.0-3.5/10:00-12:00","401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실),401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실)",3,2,2,,,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,MME전공 전용,Data Structure,
7,2학년,전공,기초,ASW2005-02,자료구조,윤인식,서울,"화2.0-3.5/10:00-12:00,목2.0-3.5/10:00-12:00","407-207(정보문화관P P402 컴퓨터실습실1),407-207(정보문화관P P402 컴퓨터실습실1)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,"수강정원 40명, AI전공 및 DS전공 및 AI융합학부 전용",Data Structure,
8,"1,2학년",전공,기초,ASW2007-01,프로그래밍기초,박재철,서울,"수9.0-10.5/17:00-18:50,목9.0-10.5/17:00-18:50","401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2),401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Programming Fundamentals,
9,"1,2학년",전공,기초,ASW2007-02,프로그래밍기초,한인,서울,"월6.0-7.5/14:00-16:00,수7.0-8.5/15:00-17:00","401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4)),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 40명,Programming Fundamentals,
10,"1,2학년",전공,기초,ASW2007-03,프로그래밍기초,김시명,서울,"수9.0-10.5/17:00-18:50,목2.0-3.5/10:00-12:00","401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3),401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3)",3,2,2,,,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Programming Fundamentals,
11,"1,2학년",전공,기초,ASW2007-04,프로그래밍기초,강태선,서울,"화7.0-8.5/15:00-17:00,금6.0-7.5/14:00-16:00","401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Programming Fundamentals,
